Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
1996679,K00147.01,FALSE POSITIVE,FALSE POSITIVE,19 05 57.774,+37 29 23.92,146.0555,145.56306,3594,5.459,,1.27,89.38,0.555,0,,0.34,81,44,398,6170,4.32,,1.19,1.08,4.1,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),137.6,,3.88,10/25/13 0:00
2010191,K03999.01,FALSE POSITIVE,FALSE POSITIVE,19 21 32.930,+37 28 41.45,132.6329,3.435301,208,2.71,0.04,0,89,0.045,0,,0.013,10,1.5,1300,,,,1.055,,,,,284,1,0.24,mandel-agol_geometric_transit_model,16.9,4452.68,3961.02,7/31/13 0:00,,,
2014991,K02178.01,FALSE POSITIVE,FALSE POSITIVE,19 26 11.843,+37 24 12.89,132.1692,6.496807,126,2.7451,,0.79,85.94,0.074,0,,0.011,11.9,2.5,1472,6421,3.95,,2,1.3,3.55,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),14.8,,1.68,10/25/13 0:00
2019076,K03585.01,FALSE POSITIVE,FALSE POSITIVE,19 29 50.999,+37 26 33.43,131.86174,3.5646147,62034,3.811,5.3,0.96,81.99,0.046,0,,0.364,6.908,39.4,1226,,,,0.993,,,,,243,1,0,mandel-agol_geometric_transit_model,876.9,4711.26,48117.31,7/31/13 0:00,,,
2021440,K01987.01,FALSE POSITIVE,FALSE POSITIVE,19 31 52.427,+37 29 19.28,136.3334,7.811385,844,3.8466,,0.45,88.24,0.072,0,,0.027,14.3,2.1,716,5166,4.64,,0.71,0.811,0.7,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),37.2,,1.22,10/25/13 0:00
2141783,K02201.01,CANDIDATE,CANDIDATE,19 05 28.799,+37 33 09.08,144.1254,116.5269,594,4.2569,,0.2,89.95,0.474,0,,0.022,210,2.9,425,6083,4.3,,1.19,1.04,5.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),24.6,,1.16,10/25/13 0:00
2142522,K02403.01,CANDIDATE,CANDIDATE,19 06 30.183,+37 32 14.28,134.0318,13.323565,112,4.0806,,0.43,88.81,0.114,0,,0.01,23,1.14,856,6292,4.42,,1.08,1.13,1.11,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),22.7,,1.07,10/25/13 0:00
2157247,K00997.01,FALSE POSITIVE,FALSE POSITIVE,19 23 06.870,+37 33 50.68,133.0015,5.686619,4074,16.3233,,0.61,74.48,0.063,0,,0.061,2.29,6.8,1080,6089,4.44,,1.02,1.05,2.2,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),159,,63.93,10/25/13 0:00
2161536,K02130.01,CANDIDATE,CANDIDATE,19 26 54.287,+37 31 44.04,138.2862,16.85481,962,2.4452,,0.42,89.38,0.106,0,,0.028,49,1.66,411,4142,4.73,,0.536,0.562,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),23.7,,0.95,10/25/13 0:00
2162635,K01032.01,CANDIDATE,CANDIDATE,19 27 54.609,+37 31 57.18,176.0876,650,4267,25.2731,,0.968,89.38,1.571,0,,0.092,100,25.4,280,5007,3.72,,2.52,1.225,5.7,SPC,,,1,,Mandel and Agol (2002, ApJ,580, 171),71.5,,1.13,10/25/13 0:00
2164169,K01029.01,CANDIDATE,CANDIDATE,19 29 09.836,+37 34 50.88,133.8755,32.31153,670,5.8943,,0.928,87.09,0.2,0,,0.029,18.7,3,576,5973,4.48,,0.96,1.015,2,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),30.7,,0.87,10/25/13 0:00
2165002,K00999.01,CANDIDATE,CANDIDATE,19 29 52.742,+37 34 04.05,146.1531,16.56806,1208,4.1494,,0.34,89.38,0.118,0,,0.032,30,2.66,592,5245,4.57,,0.77,0.801,7.9,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),47.1,,1.09,10/25/13 0:00
2165002,K00999.02,CANDIDATE,CANDIDATE,19 29 52.742,+37 34 04.05,151.4112,47.33465,1279,4.9055,,0.64,89.38,0.238,0,,0.034,60,2.89,417,5245,4.57,,0.77,0.801,7.9,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),19.3,,15.63,10/25/13 0:00
2166200,K03735.01,CANDIDATE,CANDIDATE,19 30 56.089,+37 33 33.52,132.6516,8.096887,125310,3.507,4,0.9,87.5,0.083,0,,0.5,20.7,75,1149.8,,,,1.405,,,,,31,1,0.912,mandel-agol_geometric_transit_model,130.8,545.42,952.57,7/31/13 0:00,,,
2166206,K01028.01,FALSE POSITIVE,FALSE POSITIVE,19 30 56.704,+37 33 37.23,140.7412,8.096956,503,2.5778,,1.01,79.07,0.08,0,,0.055,5.3,8.4,1115,6013,4.16,,1.41,1.06,6.6,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),79.4,,3.96,10/25/13 0:00
2167890,K03670.01,FALSE POSITIVE,FALSE POSITIVE,19 32 22.471,+37 30 52.24,133.03501,2.6483024,10905,2.061,0.175,0,90,0.042,0,,0.092,10.7,88.1,3059.1,,,,8.721,,,,,85,1,0.892,mandel-agol_geometric_transit_model,290.7,921.14,3573.11,7/31/13 0:00,,,
2302548,K00988.01,CANDIDATE,CANDIDATE,19 25 27.546,+37 36 33.01,268.0236,10.381209,802,2.8096,,0.025,89.95,0.089,0,,0.025,28.9,2.21,690,5218,4.58,,0.799,0.876,2.4,SPC,,,2,,Mandel and Agol (2002, ApJ,580, 171),114.1,,1.15,10/25/13 0:00
2302548,K00988.02,CANDIDATE,CANDIDATE,19 25 27.546,+37 36 33.01,135.8743,24.57078,655,2.8017,,0.68,89.38,0.158,0,,0.025,51.4,2.17,518,5218,4.58,,0.799,0.876,2.4,SPC,,,2,,Mandel and Agol (2002, ApJ,580, 171),67.4,,1.04,10/25/13 0:00
2303903,K04709.01,CANDIDATE,CANDIDATE,19 26 34.307,+37 37 56.67,134.4789,3.708556,422,2.25,1,0.99,75,0.045,0,,0.031,3.7,2.6,992,,,,0.773,,,,,263,1,0.007,mandel-agol_geometric_transit_model,9.8,2527.45,2009.19,6/6/13 0:00,,,
